Id,Category
1005681.jpg,marge_simpson
1006429.jpg,kent_brockman
1008950.jpg,bart_simpson
1036663.jpg,comic_book_guy
1037581.jpg,bart_simpson
1039415.jpg,homer_simpson
1049657.jpg,krusty_the_clown
105103.jpg,homer_simpson
1053069.jpg,homer_simpson
1056304.jpg,milhouse_van_houten
1072567.jpg,moe_szyslak
1074371.jpg,charles_montgomery_burns
1079129.jpg,moe_szyslak
108136.jpg,krusty_the_clown
108163.jpg,marge_simpson
1093406.jpg,homer_simpson
1117061.jpg,moe_szyslak
1125036.jpg,chief_wiggum
1144684.jpg,krusty_the_clown
1170199.jpg,milhouse_van_houten
1181194.jpg,apu_nahasapeemapetilon
1213968.jpg,edna_krabappel
1228663.jpg,apu_nahasapeemapetilon
1229195.jpg,ned_flanders
1230508.jpg,ned_flanders
1233637.jpg,milhouse_van_houten
1266897.jpg,homer_simpson
1269621.jpg,mayor_quimby
1281240.jpg,milhouse_van_houten
128202.jpg,charles_montgomery_burns
128386.jpg,moe_szyslak
1306737.jpg,moe_szyslak
131896.jpg,comic_book_guy
1320153.jpg,comic_book_guy
132676.jpg,moe_szyslak
1342419.jpg,charles_montgomery_burns
1347540.jpg,homer_simpson
1362534.jpg,bart_simpson
1372692.jpg,bart_simpson
1378044.jpg,charles_montgomery_burns
1393811.jpg,bart_simpson
1410770.jpg,ned_flanders
142719.jpg,lenny_leonard
1432320.jpg,krusty_the_clown
1445742.jpg,krusty_the_clown
145116.jpg,bart_simpson
145752.jpg,ned_flanders
1457673.jpg,krusty_the_clown
1461500.jpg,charles_montgomery_burns
1469734.jpg,milhouse_van_houten
1482932.jpg,krusty_the_clown
1492213.jpg,krusty_the_clown
1505424.jpg,ned_flanders
1507222.jpg,milhouse_van_houten
1518364.jpg,moe_szyslak
1522348.jpg,krusty_the_clown
1536375.jpg,homer_simpson
1540378.jpg,charles_montgomery_burns
1541849.jpg,lisa_simpson
1543232.jpg,moe_szyslak
155295.jpg,marge_simpson
1560645.jpg,charles_montgomery_burns
1560668.jpg,marge_simpson
1562743.jpg,homer_simpson
1567568.jpg,apu_nahasapeemapetilon
1573872.jpg,homer_simpson
1579237.jpg,bart_simpson
1588132.jpg,moe_szyslak
1606039.jpg,krusty_the_clown
1612835.jpg,bart_simpson
1631643.jpg,ned_flanders
1640444.jpg,milhouse_van_houten
1641421.jpg,moe_szyslak
1645691.jpg,apu_nahasapeemapetilon
1647789.jpg,martin_prince
1659488.jpg,charles_montgomery_burns
1677330.jpg,moe_szyslak
1681244.jpg,abraham_grampa_simpson
1690100.jpg,charles_montgomery_burns
1703889.jpg,homer_simpson
1718417.jpg,marge_simpson
1735047.jpg,ned_flanders
1735273.jpg,krusty_the_clown
17371.jpg,homer_simpson
1744386.jpg,chief_wiggum
1752277.jpg,homer_simpson
1753267.jpg,abraham_grampa_simpson
1768727.jpg,chief_wiggum
1783234.jpg,homer_simpson
1790376.jpg,charles_montgomery_burns
1797022.jpg,krusty_the_clown
1803041.jpg,marge_simpson
1827498.jpg,ned_flanders
1830014.jpg,marge_simpson
1832687.jpg,moe_szyslak
1833660.jpg,chief_wiggum
1834216.jpg,ned_flanders
1839993.jpg,krusty_the_clown
1841414.jpg,charles_montgomery_burns
1849959.jpg,moe_szyslak
