Id,Category
1005681.jpg,edna_krabappel
1006429.jpg,kent_brockman
1008950.jpg,bart_simpson
1036663.jpg,comic_book_guy
1037581.jpg,ned_flanders
1039415.jpg,homer_simpson
1049657.jpg,krusty_the_clown
105103.jpg,homer_simpson
1053069.jpg,maggie_simpson
1056304.jpg,milhouse_van_houten
1072567.jpg,comic_book_guy
1074371.jpg,charles_montgomery_burns
1079129.jpg,chief_wiggum
108136.jpg,edna_krabappel
108163.jpg,marge_simpson
1093406.jpg,moe_szyslak
1117061.jpg,moe_szyslak
1125036.jpg,chief_wiggum
1144684.jpg,ned_flanders
1170199.jpg,moe_szyslak
1181194.jpg,apu_nahasapeemapetilon
1213968.jpg,bart_simpson
1228663.jpg,apu_nahasapeemapetilon
1229195.jpg,ned_flanders
1230508.jpg,ned_flanders
1233637.jpg,milhouse_van_houten
1266897.jpg,homer_simpson
1269621.jpg,homer_simpson
1281240.jpg,marge_simpson
128202.jpg,charles_montgomery_burns
128386.jpg,moe_szyslak
1306737.jpg,moe_szyslak
131896.jpg,comic_book_guy
1320153.jpg,edna_krabappel
132676.jpg,moe_szyslak
1342419.jpg,homer_simpson
1347540.jpg,bart_simpson
1362534.jpg,ned_flanders
1372692.jpg,charles_montgomery_burns
1378044.jpg,comic_book_guy
1393811.jpg,lisa_simpson
1410770.jpg,ned_flanders
142719.jpg,lenny_leonard
1432320.jpg,krusty_the_clown
1445742.jpg,krusty_the_clown
145116.jpg,bart_simpson
145752.jpg,barney_gumble
1457673.jpg,krusty_the_clown
1461500.jpg,homer_simpson
1469734.jpg,moe_szyslak
1482932.jpg,apu_nahasapeemapetilon
1492213.jpg,homer_simpson
1505424.jpg,lisa_simpson
1507222.jpg,marge_simpson
1518364.jpg,moe_szyslak
1522348.jpg,krusty_the_clown
1536375.jpg,homer_simpson
1540378.jpg,charles_montgomery_burns
1541849.jpg,lisa_simpson
1543232.jpg,moe_szyslak
155295.jpg,krusty_the_clown
1560645.jpg,krusty_the_clown
1560668.jpg,marge_simpson
1562743.jpg,homer_simpson
1567568.jpg,apu_nahasapeemapetilon
1573872.jpg,charles_montgomery_burns
1579237.jpg,ned_flanders
1588132.jpg,moe_szyslak
1606039.jpg,homer_simpson
1612835.jpg,lisa_simpson
1631643.jpg,edna_krabappel
1640444.jpg,milhouse_van_houten
1641421.jpg,moe_szyslak
1645691.jpg,apu_nahasapeemapetilon
1647789.jpg,marge_simpson
1659488.jpg,charles_montgomery_burns
1677330.jpg,moe_szyslak
1681244.jpg,abraham_grampa_simpson
1690100.jpg,moe_szyslak
1703889.jpg,homer_simpson
1718417.jpg,marge_simpson
1735047.jpg,chief_wiggum
1735273.jpg,marge_simpson
17371.jpg,homer_simpson
1744386.jpg,moe_szyslak
1752277.jpg,lisa_simpson
1753267.jpg,homer_simpson
1768727.jpg,charles_montgomery_burns
1783234.jpg,apu_nahasapeemapetilon
1790376.jpg,charles_montgomery_burns
1797022.jpg,krusty_the_clown
1803041.jpg,marge_simpson
1827498.jpg,ned_flanders
1830014.jpg,marge_simpson
1832687.jpg,charles_montgomery_burns
1833660.jpg,charles_montgomery_burns
1834216.jpg,ned_flanders
1839993.jpg,homer_simpson
1841414.jpg,homer_simpson
1849959.jpg,kent_brockman
1867270.jpg,lisa_simpson
1874950.jpg,homer_simpson
188794.jpg,apu_nahasapeemapetilon
190352.jpg,krusty_the_clown
1908045.jpg,lenny_leonard
1930644.jpg,bart_simpson
1939801.jpg,bart_simpson
1957668.jpg,ned_flanders
202663.jpg,abraham_grampa_simpson
2030758.jpg,homer_simpson
2046262.jpg,charles_montgomery_burns
205162.jpg,lisa_simpson
2058258.jpg,chief_wiggum
2061694.jpg,chief_wiggum
2075121.jpg,moe_szyslak
2082718.jpg,charles_montgomery_burns
2089446.jpg,marge_simpson
2094311.jpg,ned_flanders
2098620.jpg,milhouse_van_houten
2105985.jpg,krusty_the_clown
2115108.jpg,marge_simpson
2118361.jpg,ned_flanders
2122040.jpg,lenny_leonard
2124927.jpg,krusty_the_clown
2133408.jpg,marge_simpson
2146359.jpg,comic_book_guy
2155993.jpg,homer_simpson
215825.jpg,edna_krabappel
2166442.jpg,apu_nahasapeemapetilon
2166448.jpg,marge_simpson
2181937.jpg,homer_simpson
2183555.jpg,abraham_grampa_simpson
218567.jpg,kent_brockman
2207876.jpg,moe_szyslak
2208856.jpg,homer_simpson
2212550.jpg,abraham_grampa_simpson
2213168.jpg,krusty_the_clown
2216497.jpg,moe_szyslak
2237845.jpg,homer_simpson
2251128.jpg,charles_montgomery_burns
2267714.jpg,marge_simpson
2290363.jpg,ned_flanders
2299429.jpg,charles_montgomery_burns
2300928.jpg,chief_wiggum
2303063.jpg,apu_nahasapeemapetilon
